,proto,service,id.resp_p,missed_bytes,version,cipher,curve,resumed,established,sni_matches_cert,secure_label
271,udp,dns,53,0,1,1,1,1,1,1,0
272,udp,dns,53,0,1,1,1,1,1,1,0
273,udp,dns,53,0,1,1,1,1,1,1,0
274,udp,quic,443,0,1,1,1,1,1,1,1
275,,,443,,1,1,1,1,1,1,1
276,tcp,ssl,443,2800,1,1,1,1,1,1,0
277,udp,dns,53,0,1,1,1,1,1,1,0
278,udp,dns,53,0,1,1,1,1,1,1,0
279,,,443,,1,1,1,1,1,1,1
280,tcp,ssl,443,0,1,1,1,1,1,1,1
281,udp,dns,53,0,1,1,1,1,1,1,0
282,udp,dns,53,0,1,1,1,1,1,1,0
283,,,80,,0,1,1,1,1,1,0
284,udp,dns,53,0,1,1,1,1,1,1,0
285,,,443,,0,1,1,1,1,1,0
286,udp,dns,53,0,1,1,1,1,1,1,0
287,udp,dns,53,0,1,1,1,1,1,1,0
288,udp,dns,53,0,1,1,1,1,1,1,0
289,tcp,ssl,443,2800,1,1,1,1,1,1,0
290,icmp,,3,0,1,1,1,1,1,1,1
291,udp,quic,443,0,1,1,1,1,1,1,1
292,,,443,,1,1,1,1,1,1,1
293,tcp,ssl,443,0,1,1,1,1,1,1,1
294,udp,dns,53,0,1,1,1,1,1,1,0
295,udp,dns,53,0,1,1,1,1,1,1,0
296,,,443,,0,1,0,1,1,1,0
297,tcp,,2181,0,1,1,1,1,1,1,1
298,udp,dns,53,0,1,1,1,1,1,1,0
299,udp,quic,443,0,1,1,1,1,1,1,1
300,udp,dns,53,0,1,1,1,1,1,1,0
301,udp,dns,53,0,1,1,1,1,1,1,0
302,udp,dns,53,0,1,1,1,1,1,1,0
303,udp,dns,53,0,1,1,1,1,1,1,0
304,udp,dns,53,0,1,1,1,1,1,1,0
305,udp,dns,53,0,1,1,1,1,1,1,0
306,udp,quic,443,0,1,1,1,1,1,1,1
307,,,443,,1,1,1,1,1,1,1
308,tcp,http,80,0,1,1,1,1,1,1,1
309,udp,dns,53,0,1,1,1,1,1,1,0
310,udp,dns,53,0,1,1,1,1,1,1,0
311,,,80,,0,1,1,1,1,1,0
312,tcp,ssl,443,2880,1,1,1,1,1,1,0
313,tcp,ssl,443,2880,1,1,1,1,1,1,0
314,tcp,ssl,443,0,1,1,1,1,1,1,1
315,tcp,ssl,443,2880,1,1,1,1,1,1,0
316,tcp,ssl,443,2880,1,1,1,1,1,1,0
317,,,443,,1,1,1,1,1,1,1
318,,,443,,1,1,1,1,1,1,1
319,,,443,,1,1,1,1,1,1,1
320,,,443,,1,1,1,1,1,1,1
321,,,443,,0,1,1,1,1,1,0
322,udp,dns,53,0,1,1,1,1,1,1,0
323,udp,quic,443,0,1,1,1,1,1,1,1
324,,,443,,1,1,1,1,1,1,1
325,tcp,,9092,0,1,1,1,1,1,1,1
326,tcp,,9092,0,1,1,1,1,1,1,1
327,tcp,,34984,0,1,1,1,1,1,1,1
328,udp,dns,53,0,1,1,1,1,1,1,0
329,udp,dns,53,0,1,1,1,1,1,1,0
330,tcp,,50912,0,1,1,1,1,1,1,1
331,tcp,,50960,0,1,1,1,1,1,1,1
332,tcp,,50872,0,1,1,1,1,1,1,1
333,udp,dns,53,0,1,1,1,1,1,1,0
334,tcp,ssl,443,0,1,1,1,1,1,1,1
335,udp,quic,443,0,1,1,1,1,1,1,1
336,,,443,,0,1,0,1,1,1,0
337,udp,dns,53,0,1,1,1,1,1,1,0
338,tcp,,36276,0,1,1,1,1,1,1,1
339,tcp,,42773,0,1,1,1,1,1,1,1
340,udp,quic,443,0,1,1,1,1,1,1,1
341,tcp,,443,0,1,1,1,1,1,1,1
342,tcp,,443,0,1,1,1,1,1,1,1
343,tcp,,443,0,1,1,1,1,1,1,1
344,udp,dns,53,0,1,1,1,1,1,1,0
345,udp,dns,53,0,1,1,1,1,1,1,0
346,udp,dns,53,0,1,1,1,1,1,1,0
347,udp,dns,53,0,1,1,1,1,1,1,0
348,udp,dns,53,0,1,1,1,1,1,1,0
349,udp,quic,443,0,1,1,1,1,1,1,1
350,,,443,,0,1,0,1,1,1,0
351,udp,dns,5353,0,1,1,1,1,1,1,1
352,udp,dns,5353,0,1,1,1,1,1,1,1
353,tcp,,34984,0,1,1,1,1,1,1,1
354,tcp,,50912,0,1,1,1,1,1,1,1
355,tcp,,50960,0,1,1,1,1,1,1,1
356,tcp,,50872,0,1,1,1,1,1,1,1
357,tcp,,58768,0,1,1,1,1,1,1,1
358,tcp,,45903,0,1,1,1,1,1,1,1
359,tcp,,2181,0,1,1,1,1,1,1,1
360,tcp,,9092,0,1,1,1,1,1,1,1
361,tcp,,42773,0,1,1,1,1,1,1,1
362,tcp,,9092,0,1,1,1,1,1,1,1
363,tcp,,27017,0,1,1,1,1,1,1,1
364,udp,dns,53,0,1,1,1,1,1,1,0
365,icmp,,3,0,1,1,1,1,1,1,1
366,tcp,,9092,0,1,1,1,1,1,1,1
367,udp,dns,53,0,1,1,1,1,1,1,0
368,udp,quic,443,0,1,1,1,1,1,1,1
369,tcp,,34984,0,1,1,1,1,1,1,1
370,tcp,,50912,0,1,1,1,1,1,1,1
371,tcp,,50872,0,1,1,1,1,1,1,1
372,icmp,,0,0,1,1,1,1,1,1,1
373,tcp,,50960,0,1,1,1,1,1,1,1
374,tcp,,8081,0,1,1,1,1,1,1,1
375,tcp,,3306,0,1,1,1,1,1,1,1
376,tcp,,8081,0,1,1,1,1,1,1,1
377,tcp,,36276,0,1,1,1,1,1,1,1
378,tcp,,42773,0,1,1,1,1,1,1,1
379,tcp,,443,0,1,1,1,1,1,1,1
380,tcp,,443,0,1,1,1,1,1,1,1
381,tcp,ssl,443,0,1,1,1,1,1,1,1
382,,,443,,0,1,0,1,1,1,0
383,udp,dns,53,0,1,1,1,1,1,1,0
384,tcp,,2181,0,1,1,1,1,1,1,1
385,tcp,,9092,0,1,1,1,1,1,1,1
386,udp,,1900,0,1,1,1,1,1,1,1
387,tcp,,9092,0,1,1,1,1,1,1,1
388,icmp,,3,0,1,1,1,1,1,1,1
389,icmp,,134,0,1,1,1,1,1,1,1
390,udp,dns,53,0,1,1,1,1,1,1,0
391,tcp,,3306,0,1,1,1,1,1,1,1
392,tcp,,8081,0,1,1,1,1,1,1,1
393,tcp,,58768,0,1,1,1,1,1,1,1
394,tcp,,45903,0,1,1,1,1,1,1,1
395,udp,dhcp,67,0,1,1,1,1,1,1,0
396,icmp,,0,0,1,1,1,1,1,1,1
397,icmp,,130,0,1,1,1,1,1,1,1
398,udp,dns,5353,0,1,1,1,1,1,1,1
399,tcp,,34984,0,1,1,1,1,1,1,1
400,tcp,,50912,0,1,1,1,1,1,1,1
401,tcp,,50872,0,1,1,1,1,1,1,1
402,tcp,,50960,0,1,1,1,1,1,1,1
403,tcp,,42773,0,1,1,1,1,1,1,1
404,icmp,,0,0,1,1,1,1,1,1,1
405,tcp,,2181,0,1,1,1,1,1,1,1
406,tcp,,9092,0,1,1,1,1,1,1,1
407,icmp,,0,0,1,1,1,1,1,1,1
